sequence,mono_ns,account_index,stage,latency_ns
1,7339362857071188,0,market_to_signal,167
2,7339362858070736,0,market_to_signal,54
3,7339362859068454,0,market_to_signal,40
4,7339362860070050,0,market_to_signal,276
5,7339362860193344,0,signal_to_order_call,121818
6,7339362860197704,0,callback_to_state,3858
7,7339362860205897,0,callback_to_state,6556
8,7339362860205897,0,simulated_end_to_end,137613
9,7339362861069667,0,market_to_signal,95
10,7339362862070373,0,market_to_signal,40
11,7339362863069490,0,market_to_signal,283
12,7339362863177995,0,signal_to_order_call,107293
13,7339362863181925,0,callback_to_state,3570
14,7339362863195439,0,callback_to_state,10899
15,7339362863195439,0,simulated_end_to_end,128000
16,7339362864071227,0,market_to_signal,122
17,7339362865070263,0,market_to_signal,267
18,7339362865177969,0,signal_to_order_call,106650
19,7339362865185022,0,callback_to_state,3664
20,7339362865195331,0,callback_to_state,9573
21,7339362865195331,0,simulated_end_to_end,127019
22,7339362866068823,0,market_to_signal,142
23,7339362867068141,0,market_to_signal,50
24,7339362868075482,0,market_to_signal,39
25,7339362869069401,0,market_to_signal,279
26,7339362869175137,0,signal_to_order_call,104684
27,7339362869181405,0,callback_to_state,3297
28,7339362869191551,0,callback_to_state,9260
29,7339362869191551,0,simulated_end_to_end,124007
30,7339362870070570,0,market_to_signal,96
31,7339362871070288,0,market_to_signal,40
32,7339362872069603,0,market_to_signal,268
33,7339362872176354,0,signal_to_order_call,105530
34,7339362872181075,0,callback_to_state,3118
35,7339362872190852,0,callback_to_state,9038
36,7339362872190852,0,simulated_end_to_end,123079
37,7339362873069153,0,market_to_signal,93
38,7339362874070004,0,market_to_signal,366
39,7339362874187997,0,signal_to_order_call,116908
40,7339362874192497,0,callback_to_state,4092
41,7339362874199713,0,callback_to_state,6093
42,7339362874199713,0,simulated_end_to_end,131884
43,7339362875074323,0,market_to_signal,139
44,7339362876069664,0,market_to_signal,54
45,7339362877069728,0,market_to_signal,41
46,7339362878067106,0,market_to_signal,265
47,7339362878173482,0,signal_to_order_call,105333
48,7339362878184932,0,callback_to_state,8512
49,7339362878194566,0,callback_to_state,8896
50,7339362878194566,0,simulated_end_to_end,129556
51,7339362879070315,0,market_to_signal,97
52,7339362880070017,0,market_to_signal,40
53,7339362881070186,0,market_to_signal,321
54,7339362881176164,0,signal_to_order_call,104824
55,7339362881181180,0,callback_to_state,3498
56,7339362881184685,0,callback_to_state,2322
57,7339362881184685,0,simulated_end_to_end,116300
58,7339362882069926,0,market_to_signal,49
59,7339362883078521,0,market_to_signal,271
60,7339362883183948,0,signal_to_order_call,104275
61,7339362883190602,0,callback_to_state,3491
62,7339362883193177,0,callback_to_state,1841
63,7339362883193177,0,simulated_end_to_end,123529
64,7339362884070750,0,market_to_signal,138
65,7339362885071188,0,market_to_signal,50
66,7339362886069477,0,market_to_signal,39
67,7339362887069810,0,market_to_signal,268
68,7339362887175436,0,signal_to_order_call,104481
69,7339362887182074,0,callback_to_state,3525
70,7339362887192122,0,callback_to_state,9302
71,7339362887192122,0,simulated_end_to_end,124235
72,7339362888069771,0,market_to_signal,98
73,7339362889072943,0,market_to_signal,40
74,7339362890071649,0,market_to_signal,286
75,7339362890184145,0,signal_to_order_call,111534
76,7339362890189099,0,callback_to_state,3397
77,7339362890192145,0,callback_to_state,2036
78,7339362890192145,0,simulated_end_to_end,122315
79,7339362891068686,0,market_to_signal,120
80,7339362892068196,0,market_to_signal,261
81,7339362892172647,0,signal_to_order_call,103436
82,7339362892178560,0,callback_to_state,3360
83,7339362892188067,0,callback_to_state,8605
84,7339362892188067,0,simulated_end_to_end,121566
85,7339362893068092,0,market_to_signal,140
86,7339362894067704,0,market_to_signal,50
87,7339362895068801,0,market_to_signal,39
88,7339362896070888,0,market_to_signal,269
89,7339362896181173,0,signal_to_order_call,108904
90,7339362896194044,0,callback_to_state,5696
91,7339362896207945,0,callback_to_state,12988
92,7339362896207945,0,simulated_end_to_end,138753
93,7339362897080556,0,market_to_signal,108
94,7339362898069199,0,market_to_signal,39
95,7339362899069410,0,market_to_signal,245
96,7339362899177540,0,signal_to_order_call,106794
97,7339362899183740,0,callback_to_state,3706
98,7339362899193600,0,callback_to_state,8841
99,7339362899193600,0,simulated_end_to_end,125829
100,7339362900072850,0,market_to_signal,122
101,7339362901071825,0,market_to_signal,256
102,7339362901179938,0,signal_to_order_call,106851
103,7339362901186102,0,callback_to_state,3727
104,7339362901195683,0,callback_to_state,8849
105,7339362901195683,0,simulated_end_to_end,125502
106,7339362902071470,0,market_to_signal,167
107,7339362903069698,0,market_to_signal,50
108,7339362904069956,0,market_to_signal,40
109,7339362905078489,0,market_to_signal,261
110,7339362905200600,0,signal_to_order_call,114175
111,7339362905208312,0,callback_to_state,3969
112,7339362905216842,0,callback_to_state,7128
113,7339362905216842,0,simulated_end_to_end,140535
114,7339362906072612,0,market_to_signal,94
115,7339362907069467,0,market_to_signal,38
116,7339362908069395,0,market_to_signal,267
117,7339362908178444,0,signal_to_order_call,107860
118,7339362908184131,0,callback_to_state,3747
119,7339362908195935,0,callback_to_state,11058
120,7339362908195935,0,simulated_end_to_end,128386
121,7339362909070664,0,market_to_signal,137
122,7339362910070940,0,market_to_signal,268
123,7339362910177587,0,signal_to_order_call,105624
124,7339362910184878,0,callback_to_state,4300
125,7339362910196893,0,callback_to_state,9574
126,7339362910196893,0,simulated_end_to_end,127827
127,7339362911073438,0,market_to_signal,139
128,7339362912085101,0,market_to_signal,94
129,7339362913072064,0,market_to_signal,72
130,7339362914072415,0,market_to_signal,254
131,7339362914180851,0,signal_to_order_call,107240
132,7339362914187660,0,callback_to_state,4286
133,7339362914197429,0,callback_to_state,9012
134,7339362914197429,0,simulated_end_to_end,126889
135,7339362915069704,0,market_to_signal,95
136,7339362916071512,0,market_to_signal,86
137,7339362917070127,0,market_to_signal,393
138,7339362917179669,0,signal_to_order_call,108364
139,7339362917185471,0,callback_to_state,3541
140,7339362917189014,0,callback_to_state,2643
141,7339362917189014,0,simulated_end_to_end,121198
142,7339362918069894,0,market_to_signal,76
143,7339362919070134,0,market_to_signal,462
144,7339362919187246,0,signal_to_order_call,115975
145,7339362919194348,0,callback_to_state,3968
146,7339362919205911,0,callback_to_state,10744
147,7339362919205911,0,simulated_end_to_end,137775
148,7339362920070194,0,market_to_signal,169
149,7339362921068378,0,market_to_signal,58
150,7339362922071924,0,market_to_signal,40
151,7339362923070020,0,market_to_signal,267
152,7339362923178383,0,signal_to_order_call,107154
153,7339362923184910,0,callback_to_state,3565
154,7339362923195161,0,callback_to_state,9552
155,7339362923195161,0,simulated_end_to_end,126941
156,7339362924085789,0,market_to_signal,84
157,7339362925071224,0,market_to_signal,40
158,7339362926070876,0,market_to_signal,270
159,7339362926180172,0,signal_to_order_call,108143
160,7339362926185792,0,callback_to_state,3439
161,7339362926209674,0,callback_to_state,23160
162,7339362926209674,0,simulated_end_to_end,140572
163,7339362927070401,0,market_to_signal,96
164,7339362928072080,0,market_to_signal,255
165,7339362928180264,0,signal_to_order_call,106975
166,7339362928187688,0,callback_to_state,3904
167,7339362928198218,0,callback_to_state,9799
168,7339362928198218,0,simulated_end_to_end,127813
169,7339362929071554,0,market_to_signal,213
170,7339362930070159,0,market_to_signal,51
171,7339362931067881,0,market_to_signal,50
172,7339362932070493,0,market_to_signal,274
173,7339362932189100,0,signal_to_order_call,117373
174,7339362932196091,0,callback_to_state,3825
175,7339362932204625,0,callback_to_state,7649
176,7339362932204625,0,simulated_end_to_end,135910
177,7339362933070932,0,market_to_signal,99
178,7339362934071219,0,market_to_signal,40
179,7339362935073168,0,market_to_signal,281
180,7339362935195663,0,signal_to_order_call,115513
181,7339362935201234,0,callback_to_state,3432
182,7339362935209545,0,callback_to_state,7562
183,7339362935209545,0,simulated_end_to_end,138227
184,7339362936068887,0,market_to_signal,98
185,7339362937068514,0,market_to_signal,267
186,7339362937178253,0,signal_to_order_call,108517
187,7339362937186050,0,callback_to_state,4599
188,7339362937200509,0,callback_to_state,10547
189,7339362937200509,0,simulated_end_to_end,133898
190,7339362938070069,0,market_to_signal,149
191,7339362939070172,0,market_to_signal,55
192,7339362940071482,0,market_to_signal,40
193,7339362941070185,0,market_to_signal,409
194,7339362941181031,0,signal_to_order_call,109658
195,7339362941188405,0,callback_to_state,3921
196,7339362941203062,0,callback_to_state,13881
197,7339362941203062,0,simulated_end_to_end,134904
198,7339362942077103,0,market_to_signal,274
199,7339362943071332,0,market_to_signal,39
200,7339362944071221,0,market_to_signal,277
201,7339362944183527,0,signal_to_order_call,111310
202,7339362944189281,0,callback_to_state,3506
203,7339362944203306,0,callback_to_state,13268
204,7339362944203306,0,simulated_end_to_end,134548
205,7339362945071360,0,market_to_signal,104
206,7339362946070095,0,market_to_signal,273
207,7339362946179695,0,signal_to_order_call,108360
208,7339362946186938,0,callback_to_state,3744
209,7339362946200578,0,callback_to_state,12717
210,7339362946200578,0,simulated_end_to_end,132397
211,7339362947071079,0,market_to_signal,129
212,7339362948070135,0,market_to_signal,57
213,7339362949068427,0,market_to_signal,39
214,7339362950072120,0,market_to_signal,273
215,7339362950187269,0,signal_to_order_call,108225
216,7339362950195205,0,callback_to_state,4092
217,7339362950204725,0,callback_to_state,8501
218,7339362950204725,0,simulated_end_to_end,134514
219,7339362951070444,0,market_to_signal,127
220,7339362952069821,0,market_to_signal,38
221,7339362953070518,0,market_to_signal,275
222,7339362953179492,0,signal_to_order_call,107747
223,7339362953184938,0,callback_to_state,3511
224,7339362953194823,0,callback_to_state,9159
225,7339362953194823,0,simulated_end_to_end,126012
226,7339362954069273,0,market_to_signal,95
227,7339362955070267,0,market_to_signal,278
228,7339362955177257,0,signal_to_order_call,106049
229,7339362955184230,0,callback_to_state,3848
230,7339362955197532,0,callback_to_state,12546
231,7339362955197532,0,simulated_end_to_end,129315
232,7339362956082225,0,market_to_signal,260
233,7339362957069456,0,market_to_signal,56
234,7339362958069373,0,market_to_signal,39
235,7339362959070646,0,market_to_signal,219
236,7339362959176687,0,signal_to_order_call,104721
237,7339362959183488,0,callback_to_state,4003
238,7339362959194402,0,callback_to_state,10193
239,7339362959194402,0,simulated_end_to_end,125733
240,7339362960071682,0,market_to_signal,129
241,7339362961071669,0,market_to_signal,50
242,7339362962070385,0,market_to_signal,342
243,7339362962182094,0,signal_to_order_call,110667
244,7339362962187411,0,callback_to_state,3306
245,7339362962198642,0,callback_to_state,10357
246,7339362962198642,0,simulated_end_to_end,130160
