sample_mono_ns,scope,account_index,role,tid,user_cpu_ns,system_cpu_ns,voluntary_context_switches,nonvoluntary_context_switches
7350075667218042,process,-1,process,90,320000000,1420000000,1,4
7350075667218042,thread,-1,producer,90,0,50000000,1,4
7350075667218042,thread,-1,sampler,107,0,0,1,0
7350075667218042,thread,0,account_worker,103,20000000,80000000,0,3
7350075667218042,thread,0,trader_callback,91,20000000,120000000,0,1
7350075667218042,thread,0,trace_writer,92,0,130000000,0,8
7350075667218042,thread,0,latency_writer,93,30000000,100000000,0,3
7350075667218042,thread,1,account_worker,104,40000000,50000000,0,4
7350075667218042,thread,1,trader_callback,94,30000000,100000000,0,3
7350075667218042,thread,1,trace_writer,95,10000000,110000000,0,0
7350075667218042,thread,1,latency_writer,96,10000000,110000000,0,2
7350075667218042,thread,2,account_worker,105,30000000,60000000,0,3
7350075667218042,thread,2,trader_callback,97,20000000,100000000,0,0
7350075667218042,thread,2,trace_writer,98,10000000,100000000,0,0
7350075667218042,thread,2,latency_writer,99,0,40000000,0,81250
7350075667218042,thread,3,account_worker,106,0,40000000,0,65915
7350075667218042,thread,3,trader_callback,100,10000000,40000000,0,65928
7350075667218042,thread,3,trace_writer,101,20000000,70000000,0,10
7350075667218042,thread,3,latency_writer,102,0,40000000,0,81316
7350075767768269,process,-1,process,90,650000000,2570000000,2,4
7350075767768269,thread,-1,producer,90,0,50000000,2,4
7350075767768269,thread,-1,sampler,107,0,0,2,0
7350075767768269,thread,0,account_worker,103,40000000,150000000,0,3
7350075767768269,thread,0,trader_callback,91,40000000,210000000,0,1
7350075767768269,thread,0,trace_writer,92,20000000,210000000,0,11
7350075767768269,thread,0,latency_writer,93,50000000,180000000,0,9
7350075767768269,thread,1,account_worker,104,80000000,110000000,0,8
7350075767768269,thread,1,trader_callback,94,40000000,190000000,0,3
7350075767768269,thread,1,trace_writer,95,20000000,200000000,0,0
7350075767768269,thread,1,latency_writer,96,30000000,190000000,0,4
7350075767768269,thread,2,account_worker,105,60000000,130000000,0,4
7350075767768269,thread,2,trader_callback,97,30000000,180000000,0,0
7350075767768269,thread,2,trace_writer,98,30000000,180000000,0,1
7350075767768269,thread,2,latency_writer,99,10000000,120000000,0,101021
7350075767768269,thread,3,account_worker,106,30000000,60000000,0,139604
7350075767768269,thread,3,trader_callback,100,30000000,80000000,0,139622
7350075767768269,thread,3,trace_writer,101,50000000,150000000,0,14
7350075767768269,thread,3,latency_writer,102,20000000,100000000,0,101020
7350075868332071,process,-1,process,90,1000000000,3730000000,103,4
7350075868332071,thread,-1,producer,90,0,50000000,103,4
7350075868332071,thread,-1,sampler,107,0,0,3,0
7350075868332071,thread,0,account_worker,103,80000000,210000000,0,7
7350075868332071,thread,0,trader_callback,91,50000000,300000000,0,1
7350075868332071,thread,0,trace_writer,92,40000000,290000000,0,15
7350075868332071,thread,0,latency_writer,93,50000000,280000000,0,19
7350075868332071,thread,1,account_worker,104,110000000,170000000,0,75
7350075868332071,thread,1,trader_callback,94,80000000,250000000,0,3
7350075868332071,thread,1,trace_writer,95,40000000,280000000,0,0
7350075868332071,thread,1,latency_writer,96,60000000,260000000,0,5
7350075868332071,thread,2,account_worker,105,110000000,190000000,0,7
7350075868332071,thread,2,trader_callback,97,60000000,260000000,0,1
7350075868332071,thread,2,trace_writer,98,50000000,250000000,0,1
7350075868332071,thread,2,latency_writer,99,10000000,220000000,0,101021
7350075868332071,thread,3,account_worker,106,30000000,110000000,0,208920
7350075868332071,thread,3,trader_callback,100,30000000,120000000,0,208939
7350075868332071,thread,3,trace_writer,101,60000000,230000000,0,20
7350075868332071,thread,3,latency_writer,102,50000000,180000000,0,101024
7350075969066679,process,-1,process,90,1370000000,4930000000,203,4
7350075969066679,thread,-1,producer,90,0,50000000,203,4
7350075969066679,thread,-1,sampler,107,0,0,4,0
7350075969066679,thread,0,account_worker,103,110000000,280000000,0,13
7350075969066679,thread,0,trader_callback,91,80000000,360000000,0,2
7350075969066679,thread,0,trace_writer,92,70000000,370000000,0,17
7350075969066679,thread,0,latency_writer,93,70000000,370000000,0,22
7350075969066679,thread,1,account_worker,104,140000000,250000000,0,176
7350075969066679,thread,1,trader_callback,94,90000000,340000000,0,3
7350075969066679,thread,1,trace_writer,95,50000000,370000000,0,0
